City_ID,City Name,Country,City ID,Latitude,Longitude,Max Temperature,Humidity,Cloudiness (%),Wind Speed
129,Sitka,US,5557293,57.05,-135.33,57.2,93,90,10.29
130,Upernavik,GL,3418910,72.79,-56.15,40.78,68,1,12.1
131,Tuatapere,NZ,2180815,-46.13,167.68,44.01,85,20,4.0
132,Bealanana,MG,1068670,-14.55,48.73,57.92,92,96,4.23
133,Mahon,ES,2514301,39.89,4.27,73.4,88,0,8.57
134,Poum,NC,2138555,-20.23,164.02,70.47,70,9,8.14
135,Jérémie,HT,3723593,18.65,-74.12,84.22,73,87,3.56
136,Busselton,AU,2075265,-33.65,115.33,55.0,88,35,12.77
137,Ust-Kuyga,RU,2013921,70.02,135.6,36.48,91,99,7.63
138,Bandar,ID,1215498,2.05,99.75,75.58,88,98,1.28
139,Laas,IT,3175096,46.62,10.7,57.2,87,75,8.05
140,Carnarvon,AU,2074865,-24.87,113.63,50.0,100,0,4.7
141,Kaka,TM,161901,37.35,59.61,81.0,38,0,1.99
142,San Cristobal,VE,3628473,7.77,-72.22,82.4,69,40,3.36
143,Raja,SS,368246,8.46,25.68,70.66,94,98,3.22
144,Berbera,SO,64435,10.44,45.01,92.98,43,100,16.08
145,Omsukchan,RU,2122493,62.53,155.8,52.12,77,100,3.24
146,Chokurdakh,RU,2126123,70.63,147.92,38.43,86,100,5.57
147,Marsá Maţrūḩ,EG,352733,31.35,27.25,77.0,78,0,5.82
148,Pharr,US,4718721,26.19,-98.18,95.0,44,1,9.17
149,Destin,US,4153188,30.39,-86.5,87.8,66,40,5.82
150,Sur,OM,286245,22.57,59.53,86.94,60,94,8.28
151,Isla Mujeres,MX,3526756,21.23,-86.73,86.0,79,75,8.05
152,Aktobe,KZ,610611,50.28,57.21,57.2,76,34,4.47
153,Faya,SA,110690,18.39,42.45,71.6,73,94,2.91
154,Lorengau,PG,2092164,-2.02,147.27,82.36,74,93,3.74
155,Vila do Maio,CV,3374120,15.13,-23.22,77.0,94,90,8.05
156,Arraial do Cabo,BR,3471451,-22.97,-42.03,73.4,83,23,12.75
157,Gizo Government Station,SB,2108857,-8.1,156.84,82.2,73,93,4.41
158,Pontes e Lacerda,BR,3453060,-15.23,-59.34,85.87,29,8,4.12
159,Moose Factory,CA,6078372,51.26,-80.61,82.4,45,1,6.93
160,Umm Kaddadah,SD,364933,13.6,26.69,84.42,52,75,6.42
161,Malakwal,PK,1171376,32.55,73.21,85.28,72,0,5.14
162,Aksu,CN,1529660,41.12,80.26,70.95,32,16,4.29
163,Bismil,TR,321031,37.85,40.67,80.6,73,0,5.82
164,Kletskaya,RU,547677,49.31,43.06,45.0,89,61,1.99
165,Constitución,CL,3893726,-35.33,-72.42,47.3,74,0,13.15
166,Narganá,PA,3703946,9.44,-78.59,81.25,82,78,10.2
167,Soma,TR,300371,39.19,27.61,73.4,68,0,3.36
168,Leningradskiy,RU,2123814,69.38,178.42,61.54,43,37,14.18
169,Dudinka,RU,1507116,69.41,86.18,60.8,72,16,15.66
170,Bambous Virieux,MU,1106677,-20.34,57.76,69.8,73,40,4.7
171,Manggar,ID,1636426,-2.88,108.27,80.42,82,40,8.52
172,Nemuro,JP,2128975,43.32,145.57,58.69,95,99,14.05
173,Longyearbyen,SJ,2729907,78.22,15.64,46.4,65,75,27.51
174,La Unión,PE,3695466,-5.4,-80.75,72.07,58,95,17.72
175,Necochea,AR,3430443,-38.55,-58.74,51.01,73,88,5.99
176,Puerto Baquerizo Moreno,EC,3652758,-0.9,-89.6,66.56,90,100,13.09
177,Ust'-Ishim,RU,1488206,57.69,71.17,44.4,93,1,4.0
178,Phaphūnd,IN,1259801,26.6,79.47,84.25,80,100,3.85
179,Kodinsk,RU,1503037,58.69,99.18,52.84,65,0,5.95
180,Phuket,TH,1151253,8.0,98.25,82.99,94,20,2.24
181,Martapura,ID,1636022,-3.42,114.85,77.0,94,20,4.7
182,Shalinskoye,RU,1492466,55.72,93.76,56.16,90,5,2.95
183,San Vicente,AR,3428068,-26.62,-54.13,64.13,95,88,2.42
184,Santa Rosa de Aguán,HN,3601496,15.95,-85.72,83.41,75,100,8.97
185,Mount Gambier,AU,2156643,-37.83,140.77,48.2,100,90,5.82
186,Baijiantan,CN,1529626,45.63,85.18,69.28,48,25,5.48
187,Tornio,FI,634093,65.85,24.15,57.2,100,75,4.7
188,Anloga,GH,2304548,5.79,0.9,75.2,88,75,10.29
